X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-76.977474174,38.8957968060001,4789,24119,ACTIVE,430 19TH STREET NE,401954.29,136438.09,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.98102412,38.884783165,4790,37913,ACTIVE,323 17TH STREET SE,401646.59,135215.42,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981087868,38.883004199,4791,58855,ACTIVE,1632 E STREET SE,401641.1,135017.94,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981871316,38.8990871550001,4792,288899,ACTIVE,714 16TH STREET NE,401572.77,136803.26,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977908062,38.8943326680001,4793,36214,ACTIVE,333 18TH PLACE NE,401916.69,136275.55,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9820031,38.888959336,4794,39137,ACTIVE,32 16TH STREET SE,401561.56,135678.99,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9792918429999,38.887420616,4795,56571,ACTIVE,1739 INDEPENDENCE AVENUE SE,401796.82,135508.23,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.978352764,38.8940189900001,4796,39267,ACTIVE,316 18TH PLACE NE,401878.12,136240.72,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980509775,38.892624063,4797,50797,ACTIVE,219 17TH STREET NE,401691.03,136085.83,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9833994909999,38.8861308210001,4798,46266,ACTIVE,256 15TH STREET SE,401440.47,135364.98,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981075145,38.891429556,4799,73592,ACTIVE,112 17TH STREET NE,401642.01,135953.22,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.98169876,38.894968684,4800,59962,ACTIVE,1612 D STREET NE,401587.83,136346.08,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981685052,38.889543029,4801,59789,ACTIVE,1613 EAST CAPITOL STREET SE,401589.14,135743.79,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981735696,38.8983821400001,4802,1155,ACTIVE,655 16TH STREET NE,401584.55,136725,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.983209953,38.8907581280001,4803,62383,ACTIVE,1507 A STREET NE,401456.82,135878.65,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.979640924,38.8940470580001,4804,37563,ACTIVE,325 17TH PLACE NE,401766.37,136243.81,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981991603,38.8943249910001,4805,36935,ACTIVE,331 16TH STREET NE,401562.44,136274.62,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981017853,38.8923087640001,4806,52254,ACTIVE,206 17TH STREET NE,401646.96,136050.82,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980096131,38.8928202860001,4807,49525,ACTIVE,224 17TH PLACE NE,401726.91,136107.62,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9801822539999,38.893591687,4808,57366,ACTIVE,1714 C STREET NE,401719.42,136193.25,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980564462,38.8949812930001,4809,57991,ACTIVE,1700 D STREET NE,401686.23,136347.5,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
